sample	sms	morph	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
sample_SMS121_38_S	SMS121	S	0.0778446	0.0131803	-0.0583041	-0.0999009	0.191633	-0.0376862	-0.0138265	-0.0130411	-0.0254268	0.0351166	-0.0123312	-0.0228856	0.0537157	0.0682196	-0.0067347	0.0169265	0.0353597	-0.00569975	-0.103519	0.00504443
sample_SMS121_39_S	SMS121	S	0.0783826	0.0117384	-0.0591345	-0.104612	0.19819	-0.0403673	-0.0163282	-0.00912766	-0.033669	0.057724	-0.000947148	0.0147169	0.0598383	0.0445134	-0.00999879	0.0551364	-0.0221318	0.0200969	-0.0312744	0.0137856
sample_SMS121_40_L	SMS121	L	0.0765875	0.00901377	-0.0439471	-0.112688	0.174987	-0.0392294	-0.0121171	-0.0135582	-0.0184905	0.0186485	-0.0026602	0.0114437	-0.0489539	-0.111843	-0.0243006	0.0249928	0.00438465	-0.00131339	0.042912	-0.0723766
sample_SMS121_42_S	SMS121	S	0.0744429	0.00770473	-0.0512048	-0.114115	0.166189	-0.0293921	-0.0118624	-0.00644225	-0.0217866	0.0130262	-0.0184526	0.0526272	0.00230918	-0.0940743	-0.0632477	0.130387	-0.0398747	0.0269225	0.0683184	-0.082822
sample_SMS121_43_L	SMS121	L	0.0775751	0.0109256	-0.0555386	-0.0868256	0.167833	-0.0301432	-0.0139752	-0.00804143	-0.0184401	0.00482349	0.0243666	-0.00176016	-0.0781754	-0.0120742	0.0392606	-0.079156	0.064961	-0.0338127	0.0761352	-0.011051
sample_SMS121_44_L	SMS121	L	0.0790589	0.00948629	-0.0400878	-0.0986449	0.171226	-0.0408662	-0.0119089	-0.013035	-0.0283905	0.0628146	0.0248464	-0.0120681	0.0150687	0.0660666	0.0261366	-0.0926375	0.0397067	-0.0499466	-0.0973222	-0.00388391
sample_SMS121_45_L	SMS121	L	0.07607	0.00838238	-0.0519476	-0.117248	0.162658	-0.0239366	-0.0170159	-0.0142958	-0.0290873	0.0133129	0.00381174	0.0051475	-0.0838065	-0.0777975	0.00555341	-0.0346342	0.00819318	-0.00235995	0.0677825	0.00101881
sample_SMS122_46_S	SMS122	S	0.0697264	0.00834063	-0.0720072	0.000752506	-0.022838	-0.000936513	0.0483963	0.0821333	0.395853	-0.0260593	-0.0412819	0.00215264	0.000367076	-0.0169362	-0.0235581	0.0514377	-0.00144883	-0.0100717	0.038543	-0.0678971
sample_SMS122_47_S	SMS122	S	0.0712677	0.00375696	-0.0783126	-0.00339825	-0.0126397	-0.00357604	0.0625242	0.0804195	0.476226	0.00171388	0.0246434	-0.00158407	-0.00483986	-0.0142813	0.000979005	-0.00442914	0.0410311	-0.0488718	-0.00473088	0.0535098
sample_SMS122_48_L	SMS122	L	0.0698936	0.00961514	-0.0702951	-0.00202927	-0.0130543	-0.00273329	0.0557469	0.0769866	0.453328	0.00957495	0.0411809	0.00842817	-0.0278793	-0.0162211	-0.00179734	-0.0333241	0.0102773	-0.0405955	-0.0275412	0.0345513
sample_SMS123_49_S	SMS123	S	0.0787345	0.00707589	0.0236669	-0.101714	-0.117089	0.0149442	-0.0067834	0.0105359	-0.0133246	-0.0453326	-0.15891	-0.159266	-0.0759249	-0.136124	0.0212573	0.00613673	0.00112566	0.0260368	-0.0323098	-0.00589817
sample_SMS123_50_S	SMS123	S	0.0760199	0.00699097	0.0387346	-0.109071	-0.120467	0.0214124	0.00034449	0.0143803	-0.0172433	0.0201539	0.0650167	0.119243	0.109623	0.0598697	-0.0317233	0.0820381	-0.140393	0.0724537	0.158128	0.0703
sample_SMS123_52_L	SMS123	L	0.0771841	0.00665833	0.0440745	-0.117542	-0.123194	0.0121741	0.000373785	-0.00717323	-0.0232282	-0.0637635	-0.0681055	-0.0894304	-0.101769	-0.158409	0.0184887	-0.0361649	-0.0180356	0.0264683	0.0104896	-0.0371207
sample_SMS123_53_L	SMS123	L	0.0764981	0.0100481	0.0297053	-0.117053	-0.109497	0.0105739	-0.00326483	-0.00130321	-0.0173682	0.0455453	0.0232973	-0.000243088	-0.00682372	0.050927	0.0190567	-0.0514641	0.0136611	0.00721946	-0.0507878	0.0341563
sample_SMS123_54_S	SMS123	S	0.0770416	0.00525618	0.0345417	-0.117689	-0.115629	0.0238863	-0.00116902	0.00448244	-0.00915696	0.040604	-0.0546822	0.0121173	0.0315297	-0.0708327	0.00438749	0.0855239	-0.211552	0.217047	0.084054	0.145485
sample_SMS123_55_L	SMS123	L	0.0760041	0.0023499	0.0555404	-0.0804355	-0.109004	0.025411	-0.00110954	-0.00235498	-0.0296697	-0.0262311	0.288809	0.247374	-0.0470678	-0.165599	-0.0529304	-0.00350459	-0.0378514	0.0270457	0.076005	-0.0540532
sample_SMS123_56_L	SMS123	L	0.0756197	0.0137564	0.0312489	-0.129144	-0.132447	0.0127008	-0.000366188	0.00038322	-0.00624802	-0.0434195	-0.0913171	-0.137186	-0.107601	-0.0783924	0.0526469	-0.0942528	0.0180849	0.0573612	-0.098652	0.00901853
sample_SMS123_57_L	SMS123	L	0.0763885	0.00476745	0.0485898	-0.102717	-0.113291	0.0146271	-0.00155553	-0.0119798	-0.0373184	-0.0122579	0.0478789	0.00962101	-0.0325379	0.0205297	0.00954022	-0.0801147	0.0794306	-0.095017	0.0133697	-0.0524529
sample_SMS123_58_S	SMS123	S	0.0763948	0.0103546	0.02915	-0.120244	-0.102905	0.0194042	0.00164482	0.0082043	-0.0211517	0.0765689	0.0669769	0.116937	0.0762064	0.00372427	-0.0352064	0.0707478	-0.0822533	0.0662044	0.0241552	0.0140525
sample_SMS123_59_S	SMS123	S	0.0748413	0.00827629	0.0272872	-0.125245	-0.148944	0.0240266	-0.000631832	0.0014445	-0.0189714	-0.0645395	-0.19081	-0.188551	-0.0549511	-0.0983645	0.0169313	0.0154673	-0.0590553	0.0787977	-0.0234878	0.0401691
sample_SMS123_60_S	SMS123	S	0.0775494	0.00588566	0.0310377	-0.116194	-0.122273	0.0195595	-0.00179896	0.00590327	-0.0119878	-0.0468147	-0.195452	-0.170775	-0.0736117	-0.202465	0.0157231	0.0659329	-0.109435	0.136314	-0.0174885	0.0219805
sample_SMS123_62_L	SMS123	L	0.0754723	0.0113778	0.0408382	-0.119299	-0.113083	0.0118697	0.00285437	-0.00984733	-0.016742	-0.0126933	0.0549928	-0.0197419	-0.0798104	-0.00570944	0.0105923	-0.113079	0.181928	-0.114431	-0.134727	-0.114071
sample_SMS123_63_S	SMS123	S	0.0777696	0.0119466	0.0236463	-0.109748	-0.145422	0.0212579	-0.000597628	0.00437001	-0.0307345	-0.071151	-0.0809294	-0.0869515	0.00719708	0.0855831	-0.00340057	-0.00174765	0.110729	-0.116709	-0.0729993	-0.0479903
sample_SMS123_64_S	SMS123	S	0.0762324	0.00690674	0.0237575	-0.133842	-0.11944	0.0250163	-0.00281374	0.00991778	-0.0251041	0.0239922	-0.023387	0.0548489	0.132811	0.110746	-0.0205131	0.0983124	-0.113574	0.0440507	0.145558	0.0851423
